"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Part Status","Quantity","Unit Price","Description"
"RC0805FR-0722KL","Yageo","311-22.0KCRCT-ND","Active","2","0.15000","RES SMD 22K OHM 1% 1/8W 0805"
"RC0805FR-07100KL","Yageo","311-100KCRCT-ND","Active","1","0.15000","RES SMD 100K OHM 1% 1/8W 0805"
"RC0805FR-07150KL","Yageo","311-150KCRCT-ND","Active","1","0.15000","RES SMD 150K OHM 1% 1/8W 0805"
"TAS5754MDCAR","Texas Instruments","296-40564-1-ND","Active","1","10.06000","IC AMP D MONO/STER 60W 48HTSSOP"
"LT3652EMSE#PBF","Linear Technology/Analog Devices","LT3652EMSE#PBF-ND","Active","1","11.69000","IC BATTERY CHARGER SOLAR 12MSOP"
"LM74700QDBVTQ1","Texas Instruments","296-53420-1-ND","Active","1","3.18000","LOW IQ, IDEAL DIODE CONTROLLER"
"SSM3K318R,LF","Toshiba Semiconductor and Storage","SSM3K318RLFCT-ND","Active","1","0.59000","MOSFET N-CH 60V 2.5A TSM"
"CBC3225T220MR","Taiyo Yuden","587-1626-1-ND","Active","1","0.49000","FIXED IND 22UH 780MA 351 MOHM"
"1255AY-4R7M=P3","Murata Electronics","490-10812-1-ND","Active","4","0.74000","FIXED IND 4.7UH 4.5A 27.6 MOHM"
"0393570004","Molex","WM7860-ND","Active","1","2.31000","TERM BLK 4POS SIDE ENT 3.5MM PCB"
"68000-406HLF","Amphenol ICC (FCI)","609-3263-ND","Active","1","0.39000","CONN HEADER VERT 6POS 2.54MM"
"SJ-43514","CUI Devices","CP-43514-ND","Active","1","1.53000","CONN JACK 4COND 3.5MM R/A"
"APBD3224ESGC-F01","Kingbright","754-1076-1-ND","Active","1","0.76000","LED GREEN/RED CLEAR SMD"
"B340A-13-F","Diodes Incorporated","B340A-FDICT-ND","Active","1","0.59000","DIODE SCHOTTKY 40V 3A SMA"
"CC0805ZRY5V9BB104","Yageo","311-1361-1-ND","Active","6","0.16000","CAP CER 0.1UF 50V Y5V 0805"
